noise1-00006900.png: left: y=-5.183288800439547x+124.05858297704046, right: y=2.1239501158448437x+-90.06971436965716, x:38, y:0
noise1-00006950.png: left: y=-4.8895891880363305x+124.98044424649976, right: y=2.182098688212203x+-96.39247527708822, x:31, y:0
noise1-00007000.png: left: y=-3.7970711788987357x+129.55348086358137, right: y=2.3169909433997775x+-117.53161966148735, x:22, y:0
noise1-00007050.png: left: y=-4.1200961096171556x+124.17102801464863, right: y=2.490108822715542x+-123.37193518450545, x:31, y:0
noise1-00007100.png: left: y=-3.647712258547519x+124.72550350139225, right: y=2.202866298486855x+-109.75317088643018, x:32, y:0
noise1-00007150.png: left: y=-4.8967755706787885x+134.64286745686948, right: y=1.9863744348225925x+-86.88310215342182, x:38, y:0
noise1-00007200.png: left: y=-6.77474281660163x+127.08531394111391, right: y=1.9161289008314608x+-71.0983142258559, x:41, y:0
noise1-00007250.png: left: y=-6.8349219402185435x+128.77527130913668, right: y=1.901858010278975x+-69.58229432640903, x:43, y:0
noise1-00007300.png: left: y=-6.881811402186506x+133.86866699458932, right: y=1.8401756861855156x+-69.56423585255783, x:46, y:0
noise1-00007350.png: left: y=-7.2371625580966x+134.55651524759784, right: y=2.425603516723894x+-101.61252149313526, x:46, y:4
noise1-00007400.png: left: y=-6.61103087404629x+111.85265450255957, right: y=1.7682734911468843x+-66.56459011738816, x:43, y:7
noise1-00007450.png: left: y=-6.702971187126347x+124.00755157998826, right: y=1.8272885906782494x+-72.67667018716024, x:40, y:8
noise1-00007500.png: left: y=-6.331918009956626x+110.09740919786785, right: y=1.8708258307901995x+-75.96009638141537, x:37, y:9
noise1-00007550.png: left: y=-3.111042695196104x+111.13108000630405, right: y=2.0144332862225935x+-113.44849719111097, x:19, y:12
noise1-00007600.png: left: y=-3.257400198557843x+103.91222306406101, right: y=2.009583991985077x+-110.67447952705717, x:28, y:17
noise1-00007650.png: left: y=-4.157668674909275x+104.88473652422618, right: y=2.0963761066478006x+-111.06090752101593, x:33, y:23
noise1-00007700.png: left: y=-5.8002119376427315x+99.56900156969859, right: y=2.162374020156775x+-111.3329600597238, x:33, y:26
noise1-00007750.png: left: y=-6.1545883287239915x+97.65050261583154, right: y=2.140329039939387x+-112.2907173395389, x:37, y:28
noise1-00007800.png: left: y=-6.0337098515017304x+92.01788306226506, right: y=2.195644549382785x+-126.26514607952124, x:35, y:36
noise1-00007850.png: left: y=-6.370823807065412x+78.77830223467804, right: y=2.343153358041328x+-152.53252049640594, x:36, y:49
noise1-00007900.png: left: y=-6.429449492250139x+50.51897381079639, right: y=2.906914893617017x+-227.67021276595705, x:39, y:71
noise1-00007950.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00008000.png: left: invalid, right: invalid, x: invalud, y: invalid
out1-00008050.png: left: y=-5.914556792478764x+125.94322732132751, right: y=1.9706614650704373x+-79.85843132979548, x:39, y:0
out1-00008100.png: left: y=-5.716765136018321x+123.51132766852724, right: y=1.9759229069494881x+-80.04791320447617, x:40, y:0
out1-00008150.png: left: y=-5.8947305034185x+126.00810620518422, right: y=1.9900326517956892x+-79.70130878881501, x:40, y:0
out1-00008200.png: left: y=-6.197075736181881x+127.8379888268156, right: y=2.008805838098461x+-81.79169412924334, x:43, y:0
out1-00008250.png: left: y=-5.367543908068538x+112.32688332955128, right: y=1.9359637602415996x+-77.54599636002429, x:40, y:0
out1-00008300.png: left: y=-4.087274633168x+135.5733928182715, right: y=2.0743444568060503x+-103.57452716857412, x:30, y:0
out1-00008350.png: left: y=-6.23191280618892x+124.49111924815178, right: y=2.0368197409651416x+-83.65624340949621, x:44, y:0
out1-00008400.png: left: y=-6.878266713362168x+128.498925687891, right: y=1.9372610497016614x+-75.70869525805296, x:47, y:0
out1-00008450.png: left: y=-6.5206180853981905x+122.11017646520986, right: y=1.9733246373083968x+-76.29095123489672, x:40, y:0
out1-00008500.png: left: y=-5.487809898065713x+133.50864871287797, right: y=2.041359964386812x+-87.07589747904795, x:35, y:0
out1-00008550.png: left: y=-5.211766242814842x+120.1799338094409, right: y=2.144001315274994x+-89.36782721511813, x:35, y:0
out1-00008600.png: left: y=-4.848585714890274x+120.18420050327644, right: y=2.2679548001819123x+-100.54667723681686, x:35, y:0
out1-00008650.png: left: y=-3.7330732988627706x+106.32381629750049, right: y=2.2502237612534586x+-106.25182296490372, x:36, y:0
out1-00008700.png: left: y=-3.756979938729124x+115.96842771024805, right: y=2.1603729155284004x+-103.64945170797775, x:29, y:0
out1-00008750.png: left: y=-3.533399871019255x+133.57106224856435, right: y=2.0075401594943973x+-105.53189117786403, x:23, y:0
out1-00008800.png: left: y=-5.3454383403877594x+132.5392566075659, right: y=2.0122828714374044x+-87.02138962280063, x:38, y:0
out1-00008850.png: left: y=-6.800069788138578x+122.86837893038472, right: y=1.972617673872989x+-75.08172875239869, x:48, y:0
out1-00008900.png: left: y=-5.491216042505789x+135.07181420858691, right: y=2.068360252102141x+-89.54119113616298, x:33, y:0
out1-00008950.png: left: y=-5.646479499641399x+127.09530773576513, right: y=2.065454156601372x+-83.91151703415952, x:32, y:0
out1-00009000.png: left: y=-4.68831879715665x+127.33753244862805, right: y=2.221707767053644x+-104.62221556495474, x:30, y:0
out1-00009050.png: left: y=-4.653757500872677x+118.69389513461398, right: y=2.403729891277696x+-116.03128710327336, x:34, y:1
out1-00009100.png: left: y=-4.175164137366945x+111.91639356493093, right: y=2.5250460353514104x+-128.5419833057589, x:34, y:5
out1-00009150.png: left: y=-3.6078378521686916x+108.18570380713358, right: y=2.456564011897786x+-133.30741829672715, x:31, y:8
out1-00009200.png: left: y=-2.4224136527660933x+103.965667308788, right: y=2.0581138215904984x+-127.64384857166701, x:19, y:14
out1-00009250.png: left: y=-4.646145351283133x+115.43022191838455, right: y=2.1125453847228046x+-113.08571603128063, x:29, y:18
out1-00009300.png: left: y=-5.742951485902977x+102.88315976631957, right: y=2.205939779966584x+-116.18691045095738, x:28, y:22
out1-00009350.png: left: y=-6.107919573245795x+89.20147722609762, right: y=2.15630101795832x+-124.99750312109857, x:33, y:34
out1-00009400.png: left: y=-6.073916108565387x+75.96260133944307, right: y=2.4417512917895965x+-163.8695170255423, x:39, y:50
out1-00009450.png: left: y=-7.261363636363635x+52.85876623376622, right: y=2.8698955365622028x+-227.9924026590692, x:36, y:71
out2-00009500.png: left: y=-6.641032990086724x+126.69303411290205, right: y=2.141731384818627x+-84.90514631448525, x:44, y:0
out2-00009550.png: left: y=-6.329985761132213x+122.97746591301353, right: y=2.1277052660546847x+-83.67544599857901, x:43, y:0
out2-00009600.png: left: y=-6.175007564609527x+122.54604067044424, right: y=2.1710348269656716x+-87.06926178116784, x:40, y:0
out2-00009650.png: left: y=-2.5531410896419438x+95.51073784773207, right: y=2.3266019875065234x+-106.4189289792829, x:29, y:0
out2-00009700.png: left: y=-3.1482158728308565x+130.64434747133305, right: y=2.0354538111001306x+-109.03287649281128, x:20, y:0
out2-00009750.png: left: y=-6.696604682677109x+138.51660016562516, right: y=1.999867127148515x+-80.49122877140138, x:41, y:0
out2-00009800.png: left: y=-5.345983828297305x+138.01584729915405, right: y=1.9482844240289272x+-84.03349679541898, x:39, y:0
out2-00009850.png: left: y=-7.182682984897475x+125.53731121838115, right: y=1.984506237931942x+-75.07893181953109, x:41, y:0
out2-00009900.png: left: y=-6.663900021342688x+125.10909672982524, right: y=2.040281903407332x+-81.90307372996637, x:36, y:0
out2-00009950.png: left: y=-5.727260647417875x+125.90508624237017, right: y=2.126427499037946x+-89.46301104059056, x:32, y:0
out2-00010000.png: left: y=-4.5308193103448255x+127.11675586206896, right: y=2.160662697194072x+-101.69506005391206, x:30, y:0
out2-00010050.png: left: y=-4.948942019207305x+119.866952096582, right: y=2.166277398010722x+-94.80134395035273, x:37, y:0
out2-00010100.png: left: y=-2.969123059235075x+113.2842090728006, right: y=2.296059905572353x+-123.8879478005175, x:21, y:0
out2-00010150.png: left: y=-3.780253713604516x+112.29904285890395, right: y=2.169611678425237x+-101.24396962609123, x:33, y:0
out2-00010200.png: left: y=-3.9216004105852535x+133.14598069337777, right: y=2.0398043744056507x+-101.07356337454137, x:31, y:0
out2-00010250.png: left: y=-6.351769738982658x+127.26825064333364, right: y=2.037792673555892x+-83.88013609719881, x:28, y:0
out2-00010300.png: left: y=-5.686069135133623x+128.27238700883802, right: y=2.0877348163959466x+-89.9324400773424, x:30, y:0
out2-00010350.png: left: y=-5.6372072582212756x+127.52435746824314, right: y=2.0356150733739966x+-86.89210589884347, x:38, y:0
out2-00010400.png: left: y=-4.854194994612345x+135.86327864436345, right: y=2.0880121480747937x+-97.19204817768916, x:27, y:1
out2-00010450.png: left: y=-4.425889515183507x+114.9226823853633, right: y=2.224633659139598x+-104.84769777885936, x:26, y:5
out2-00010500.png: left: y=-4.660312388803226x+116.10904696951725, right: y=2.4088667833055393x+-118.08055178738603, x:34, y:7
out2-00010550.png: left: y=-4.6910754727779675x+111.16544367135695, right: y=2.218189749182115x+-109.87991275899671, x:39, y:8
out2-00010600.png: left: y=-3.2678727681638358x+123.07979108061, right: y=2.0378953606625743x+-121.23681033662815, x:28, y:11
out2-00010650.png: left: y=-5.67235329746933x+113.60779450714469, right: y=2.0112851199530812x+-100.6645529021498, x:36, y:13
out2-00010700.png: left: y=-5.441544117647058x+107.16004901960783, right: y=2.0260085982709737x+-104.24536700794219, x:34, y:18
out2-00010750.png: left: y=-5.491563057129166x+102.3603936153872, right: y=2.0238157664743928x+-111.02958398881316, x:34, y:24
out2-00010800.png: left: y=-5.268416413430062x+98.48692312907976, right: y=1.9596740766596115x+-114.09356661358223, x:39, y:33
out2-00010850.png: left: y=-5.214675789341541x+83.79718787270104, right: y=2.0383566459172457x+-129.42789307945807, x:31, y:45
out2-00010900.png: left: y=-4.312216941571147x+72.27615320100642, right: y=2.5488669248297935x+-198.9343501418964, x:19, y:59
out2-00010950.png: left: invalid, right: invalid, x: invalud, y: invalid
out2-00011000.png: left: invalid, right: invalid, x: invalud, y: invalid
out3-00011050.png: left: y=-6.053561273032151x+126.01730050598118, right: y=1.879330447636206x+-70.83096693771031, x:40, y:0
out3-00011100.png: left: y=-5.419393444799346x+135.65417685141082, right: y=1.8923302819083783x+-80.00549945153058, x:37, y:0
out3-00011150.png: left: y=-4.309965114725091x+134.3522767595865, right: y=1.9922864703201268x+-92.43908334393605, x:23, y:0
out3-00011200.png: left: y=-5.246222905515698x+123.51509888775004, right: y=2.0706787963610913x+-87.13680895731281, x:31, y:0
out3-00011250.png: left: y=-3.0407959343029933x+113.64943024656228, right: y=2.111681885511907x+-104.05233748853628, x:24, y:0
out3-00011300.png: left: y=-4.585042129266857x+131.3634958927267, right: y=2.1935859521478234x+-104.1100965827161, x:32, y:0
out3-00011350.png: left: y=-4.6643301584058925x+131.33582872983035, right: y=2.184128562553675x+-101.55991313113677, x:32, y:0
out3-00011400.png: left: y=-4.799075785582252x+131.70562585904543, right: y=2.113006767632999x+-97.97971450299046, x:36, y:0
out3-00011450.png: left: y=-4.578864089000801x+129.2788363578124, right: y=2.1525107478574057x+-98.63612991559845, x:37, y:0
out3-00011500.png: left: y=-5.248966012982179x+123.42947757015757, right: y=2.2159068324140803x+-94.7539933436038, x:42, y:0
out3-00011550.png: left: y=-4.546743823759242x+133.22056392634596, right: y=2.226518191577094x+-105.74283924054718, x:35, y:0
out3-00011600.png: left: y=-4.658270679381074x+121.31575445850538, right: y=2.371057893206787x+-109.6746223378557, x:34, y:0
